n,t,mx,z,norm
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999999996669e-01,9.999999999999996669e-01,1.000000000000000000e+00
1.000000000000000000e+00,6.283185307179586232e+00,-9.985266368578300522e-01,9.985266368578300522e-01,9.999999999999008571e-01
2.000000000000000000e+00,1.256637061435917246e+01,9.992628522755861997e-01,9.992628522755861997e-01,1.000000000000013323e+00
3.000000000000000000e+00,1.884955592153875870e+01,-9.993551825117684695e-01,9.993551825117684695e-01,9.999999999999222844e-01
4.000000000000000000e+00,2.513274122871834493e+01,9.982878726747328457e-01,9.982878726747328457e-01,1.000000000000035971e+00
5.000000000000000000e+00,3.141592653589793116e+01,-9.995448916279253693e-01,9.995448916279253693e-01,9.999999999999386047e-01
6.000000000000000000e+00,3.769911184307751739e+01,9.981701786198398096e-01,9.981701786198398096e-01,1.000000000000047073e+00
7.000000000000000000e+00,4.398229715025710362e+01,-9.989991110053992873e-01,9.989991110053992873e-01,9.999999999999383826e-01
8.000000000000000000e+00,5.026548245743668986e+01,9.987687115878665089e-01,9.987687115878665089e-01,1.000000000000039524e+00
9.000000000000000000e+00,5.654866776461627609e+01,-9.984634028393056804e-01,9.984634028393056804e-01,9.999999999999251710e-01
1.000000000000000000e+01,6.283185307179586232e+01,9.991998617921500347e-01,9.991998617921500347e-01,1.000000000000021538e+00
1.100000000000000000e+01,6.911503837897544145e+01,-9.985114585634138340e-01,9.985114585634138340e-01,9.999999999999089617e-01
1.200000000000000000e+01,7.539822368615503478e+01,9.990831566015654364e-01,9.990831566015654364e-01,1.000000000000007994e+00
1.300000000000000000e+01,8.168140899333462812e+01,-9.988745664609306463e-01,9.988745664609306463e-01,9.999999999999010791e-01
1.400000000000000000e+01,8.796459430051420725e+01,9.986899811627891754e-01,9.986899811627891754e-01,1.000000000000007550e+00
1.500000000000000000e+01,9.424777960769378637e+01,-9.988945400717498257e-01,9.988945400717498257e-01,9.999999999999055200e-01
1.600000000000000000e+01,1.005309649148733797e+02,9.986180920042496689e-01,9.986180920042496689e-01,1.000000000000017986e+00
1.700000000000000000e+01,1.068141502220529730e+02,-9.984104108611125961e-01,9.984104108611125961e-01,9.999999999999190647e-01
1.800000000000000000e+01,1.130973355292325522e+02,9.990043951798729394e-01,9.990043951798729394e-01,1.000000000000031086e+00
1.900000000000000000e+01,1.193805208364121313e+02,-9.985322824379226914e-01,9.985322824379226914e-01,9.999999999999338307e-01
2.000000000000000000e+01,1.256637061435917246e+02,9.988398730720403629e-01,9.988398730720403629e-01,1.000000000000043077e+00
2.100000000000000000e+01,1.319468914507713180e+02,-9.992226483826431860e-01,9.992226483826431860e-01,9.999999999999421574e-01
2.200000000000000000e+01,1.382300767579508829e+02,9.982609519667063891e-01,9.982609519667063891e-01,1.000000000000044409e+00
2.300000000000000000e+01,1.445132620651304762e+02,-9.994118159015159542e-01,9.994118159015159542e-01,9.999999999999318323e-01
2.400000000000000000e+01,1.507964473723100696e+02,9.982236449778364440e-01,9.982236449778364440e-01,1.000000000000029310e+00
2.500000000000000000e+01,1.570796326794896629e+02,-9.986894199242581927e-01,9.986894199242581927e-01,9.999999999999101830e-01
2.600000000000000000e+01,1.633628179866692562e+02,9.990381018505894994e-01,9.990381018505894994e-01,1.000000000000008660e+00
2.700000000000000000e+01,1.696460032938488212e+02,-9.980069405387695936e-01,9.980069405387695936e-01,9.999999999998951949e-01
2.800000000000000000e+01,1.759291886010284145e+02,9.995681074453636183e-01,9.995681074453636183e-01,1.000000000000001554e+00
2.900000000000000000e+01,1.822123739082080078e+02,-9.981315837262938473e-01,9.981315837262938473e-01,9.999999999999025224e-01
3.000000000000000000e+01,1.884955592153875727e+02,9.991534344371478804e-01,9.991534344371478804e-01,1.000000000000014655e+00
3.100000000000000000e+01,1.947787445225671661e+02,-9.989111140851308912e-01,9.989111140851308912e-01,9.999999999999247269e-01
3.200000000000000000e+01,2.010619298297467594e+02,9.983153621566297486e-01,9.983153621566297486e-01,1.000000000000038192e+00
3.300000000000000000e+01,2.073451151369263528e+02,-9.996339543141193884e-01,9.996339543141193884e-01,9.999999999999414912e-01
3.400000000000000000e+01,2.136283004441059461e+02,9.978945734946190749e-01,9.978945734946190749e-01,1.000000000000049294e+00
3.500000000000000000e+01,2.199114857512855110e+02,-9.991952463562916442e-01,9.991952463562916442e-01,9.999999999999391598e-01
3.600000000000000000e+01,2.261946710584651044e+02,9.985459541472856415e-01,9.985459541472856415e-01,1.000000000000038414e+00
3.700000000000000000e+01,2.324778563656446977e+02,-9.983337149085139695e-01,9.983337149085139695e-01,9.999999999999203970e-01
3.800000000000000000e+01,2.387610416728242626e+02,9.993112177850282940e-01,9.993112177850282940e-01,1.000000000000015543e+00
3.900000000000000000e+01,2.450442269800038559e+02,-9.982089594609796501e-01,9.982089594609796501e-01,9.999999999999030775e-01
4.000000000000000000e+01,2.513274122871834493e+02,9.992736789426169830e-01,9.992736789426169830e-01,1.000000000000003109e+00
4.100000000000000000e+01,2.576105975943630142e+02,-9.988042234811427278e-01,9.988042234811427278e-01,9.999999999998994138e-01
4.200000000000000000e+01,2.638937829015426360e+02,9.986633058091238802e-01,9.986633058091238802e-01,1.000000000000007327e+00
4.300000000000000000e+01,2.701769682087222009e+02,-9.989983740177612592e-01,9.989983740177612592e-01,9.999999999999080735e-01
4.400000000000000000e+01,2.764601535159017658e+02,9.986011530979068684e-01,9.986011530979068684e-01,1.000000000000020650e+00
4.500000000000000000e+01,2.827433388230813875e+02,-9.988044954378116902e-01,9.988044954378116902e-01,9.999999999999216183e-01
4.600000000000000000e+01,2.890265241302609525e+02,9.989236926062883271e-01,9.989236926062883271e-01,1.000000000000033751e+00
4.700000000000000000e+01,2.953097094374405742e+02,-9.987980076451776767e-01,9.987980076451776767e-01,9.999999999999333866e-01
4.800000000000000000e+01,3.015928947446201391e+02,9.990059187215275527e-01,9.990059187215275527e-01,1.000000000000040190e+00
4.900000000000000000e+01,3.078760800517997041e+02,-9.990504673596865004e-01,9.990504673596865004e-01,9.999999999999359401e-01
5.000000000000000000e+01,3.141592653589793258e+02,9.986537767929241083e-01,9.986537767929241083e-01,1.000000000000035971e+00
